source,id,price,facilities,location,area,room,floor,storeys
myrealty,141786,115000,"['Heating', 'Gas', 'Hot water', 'Internet', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water', 'Furniture', 'Equipment', 'Elevator', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Center, Aygestan 9 St",46 SQ. M.,2,15,16
myrealty,141785,410000,"['Heating', 'Gas', 'Hot water', 'Internet', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water', 'Furniture', 'Equipment', 'Open balcony', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Center, Bayron St",161 SQ. M.,5,4,5
myrealty,141782,128000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Balcony', 'Tile', 'Laminate flooring', 'Parquet', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park']","Yerevan, Avan, Avan 4 St",74 SQ. M.,3,5,5
myrealty,141777,119000,"['Heating', 'Gas', 'Hot water', 'Internet', 'water 24/7', 'Water', 'Sewerage, Canalization']","Yerevan, Arabkir, Gyulbenkyan St",71 SQ. M.,3,5,14
myrealty,141773,133000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Playground', 'Elevator']","Yerevan, Achapnyak, Leningradyan St",48 SQ. M.,2,3,14
myrealty,141772,115000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Elevator']","Yerevan, Malatia-Sebastia, Svachyan str",44 SQ. M.,2,9,9
myrealty,141771,172000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Laminate flooring', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Qanaqer-Zeytun, K. Ulnetsi St",72 SQ. M.,2,4,18
myrealty,141769,459000,"['Heating', 'Gas', 'Hot water', 'Internet', 'Air-conditioner', 'Electricity', 'water 24/7', 'Water', 'Furniture', 'Equipment', 'Open balcony', 'Elevator', 'Sunny', 'View', 'Close to the bus station']","Yerevan, Center, Baghramyan Ave (Kentron)",120 SQ. M.,3,8,16
myrealty,141767,215000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Elevator']","Yerevan, Qanaqer-Zeytun, Sevak St",110 SQ. M.,3,2,15
myrealty,141765,280000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Tile', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking']","Yerevan, Center, Vardanants St",100 SQ. M.,3,2,4
