source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude
bars,1-2-990,250000,"['Heating system', 'Air conditioning', 'Open balcony', 'Furniture']",Yerevan/Small Center/Moskovyan Street,50.0,2,2,5,Stalinka c/o,Major overhaul,3.5,1,1,,,,,,,,,
bars,4-3-1181,160000,"['Garage', 'Open balcony', 'Closed balcony']",Yerevan/Arabkir/Komitas Avenue,91.0,4,3,5,Stalinka c/o,Major overhaul,3.0,1,3,,,,,,,,,
bars,1-3-1912,120000,['Open balcony'],Yerevan/Small Center/Heratsi Street (S.C.),85.0,3,2,4,Stalinka w/o,Old major overhaul,,1,2,,,,,,,,,
bars,1-3-2133,606000,"['Garage', 'Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Closed balcony', 'Terrace', 'Fireplace', 'Furniture']",Yerevan/Small Center/Isahakyan Street,220.0,5,5,6,Special project,Major overhaul,2.8,3,3,,,,,,,,,
bars,6-NM3-6,400000,"['Elevator', 'Open balcony', 'Panorama']",Yerevan/Nork-Marash/Hovsepyan Street,100.0,3,1,5,New building,Without renovation,3.0,2,2,,,,,,,,,
bars,1-3-2132,190000,"['Garage', 'Closed balcony']",Yerevan/Small Center/Charents Street (S.C.),84.0,3,1,5,Stone,Without renovation,3.0,1,2,,,,,,,,,
bars,1-N-430,700000,"['Parking', 'Elevator', 'Heating system', 'Air conditioning', 'Front balcony', 'Washing machine', 'Dishwasher', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Kitchen furniture']",Yerevan/Small Center/Koghbatsi Street,145.0,5,8,11,New building,Major overhaul,3.0,3,4,,,,,,,,,
bars,6-ACH3-126,85000,"['First line', 'Heating system', 'Washing machine', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Kitchen furniture', 'Transport availability']",Yerevan/Achapnyak/Fuchik street,56.0,3,5,5,Stone,Major overhaul,2.8,1,2,,,,,,,,,
bars,4-3-1429,360000,"['First line', 'Garage', 'Elevator', 'Heating system', 'Air conditioning', 'Open balcony', 'Terrace', 'Panorama', 'Washing machine', 'Dishwasher', 'Kitchen stove', 'Fridge', 'TV', 'Furniture', 'Kitchen furniture', 'Transport availability', 'Exclusive design']",Yerevan/Arabkir/Baghramyan Avenue 2nd Blind Alley,305.0,4,5,14,New building,Major overhaul,3.0,2,2,,,,,,,,,
bars,4-3-1427,115000,"['Parking', 'Closed balcony', 'Panorama']",Yerevan/Arabkir/Aghbyur Serob Street,83.0,3,7,14,Panel,Redecoration,2.75,1,2,,,,,,,,,
bars,4-2-203,95000,['Heating system'],Yerevan/Arabkir/Nairi Zaryan Street,37.0,2,2,5,Stalinka c/o,Major overhaul,3.1,1,1,,,,,,,,,
bars,6-NM2-5,108000,['Open balcony'],Yerevan/Nork-Marash/Hovsepyan Street,55.18,2,4,5,New building,Without renovation,3.0,1,1,,,,,,,,,
bars,6-D3-208,124000,"['Elevator', 'Closed balcony']",Yerevan/Davtashen/Davtashen 1st block,105.0,3,2,14,Panel,Without renovation,2.75,1,2,,,,,,,,,
bars,2-2-281,170000,[],Yerevan/Big Center/Christophor st.,,,,,Stone,Major overhaul,,,,,,,,,,,,
bars,6-D3-207,163000,"['Elevator', 'Heating system', 'Open balcony']",Yerevan/Davtashen/Mikoyan Street,72.0,3,2,11,New building,Major overhaul,3.0,1,2,,,,,,,,,
