source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bnakaran,d113304,,,,195,4,16,16,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'metal door', 'open balcony', 'elevator', 'plastic windows', 'sunny']",44.509184988052,39,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'balconies': '2'}",,40.181542533655,,metal,in situ concrete,not renovated,plastic,,,
bnakaran,d115472,105000,,,42,2,2,10,,,,,,16.11.2023,,"['persistent water', 'electricity', 'laminatе flooring', 'metal door', 'refrigerator', 'elevator', 'built-in wardrobes', 'LED TV', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.503449695768,179,[],"{'rooms': '2', 'bedrooms': '1', 'bathrooms': '1', 'kitchens': '1'}",,40.196814778967,laminate,metal,,renovated,plastic,gas boiler,,
bnakaran,d83074,700000,,,180,4,4,4,Stalin,,,,,16.11.2023,,"['heating flooring', 'new wiring', 'persistent water', 'hardwood flooring', 'new water tubes', 'electricity', 'metal door', 'cable TV', 'intercom', 'open balcony', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'exclusive design', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.518887018712,241,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'balconies': '1'}",,40.188667580262,hardwood,metal,stone,renovated,plastic,gas boiler,outdoor,
bnakaran,d107448,280000,,,115,4,2,9,special,,,,,16.11.2023,,"['air conditioner', 'new wiring', 'persistent water', 'hardwood flooring', 'new water tubes', 'electricity', 'metal door', 'intercom', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'furnished']",44.505798339844,51,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1'}",,40.194900512695,hardwood,metal,in situ concrete,renovated,plastic,gas boiler,,air conditioner
bnakaran,d111383,155000,,,130,4,4,5,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'hardwood flooring', 'new water tubes', 'electricity', 'metal door', 'open balcony', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'natural gas', 'kitchen furniture', 'furnished']",44.525986305557,52,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '2', 'kitchens': '1', 'storage rooms': '1', 'balconies': '2'}",,40.199857018654,hardwood,metal,stone,renovated,plastic,gas boiler,outdoor,
bnakaran,d116753,210000,,,160,5,2,14,,,,,,16.11.2023,,"['persistent water', 'hardwood flooring', 'electricity', 'playground', 'metal door', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'internet', 'furnished']",44.457279994457,138,[],"{'rooms': '5', 'bedrooms': '4', 'bathrooms': '1', 'kitchens': '1'}",,40.206125954792,hardwood,metal,,old renovation,plastic,gas boiler,,
bnakaran,d117805,130000,,,160,4,1,4,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'internet', 'furnished']",44.475157456344,41,[],"{'rooms': '4', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.205345241321,laminate,metal,stone,renovated,plastic,gas boiler,,
bnakaran,d115790,750000,,,140,4,10,15,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'new water tubes', 'electricity', 'laminatе flooring', 'metal door', 'open balcony', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.50783,170,[],"{'rooms': '4', 'bedrooms': '3', 'bathrooms': '3', 'kitchens': '1', 'balconies': '2'}",,40.188632,laminate,metal,in situ concrete,renovated,plastic,centralized,,
bnakaran,d116739,250000,,,115,3,4,10,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'electricity', 'laminatе flooring', 'metal door', 'intercom', 'sec. worker', 'elevator', 'built-in wardrobes', 'kitchen tiled', 'appliances', 'plastic windows', 'natural gas', 'kitchen furniture', 'furnished']",44.545287371688,134,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'balconies': '1'}",,40.21836451578,laminate,metal,in situ concrete,renovated,plastic,gas boiler,underground,
bnakaran,d116423,170000,,,67,3,10,14,,,,,,16.11.2023,,"['new wiring', 'persistent water', 'hardwood flooring', 'electricity', 'metal door', 'refrigerator', 'intercom', 'open balcony', 'elevator', 'built-in wardrobes', 'LED TV', 'kitchen tiled', 'appliances', 'bathroom tiled', 'plastic windows', 'washing machine', 'sunny', 'natural gas', 'kitchen furniture', 'furnished']",44.512879,274,[],"{'rooms': '3', 'bedrooms': '2', 'bathrooms': '1', 'kitchens': '1', 'balconies': '1'}",,40.17787,hardwood,metal,in situ concrete,renovated,plastic,gas boiler,,
