source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude
myrealty,142336,97000,"['Heating', 'Internet', 'Hot water', 'Gas', 'Water', 'water 24/7']","Yerevan, Achapnyak, Shiraz St",104,3,4,14,Stone,Newly repaired,2.6 M,1,,14.11.2023,1,,,,,,,
myrealty,142335,99000,"['Sewerage, Canalization', 'Electricity', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Open balcony', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Elevator']","Yerevan, Malatia-Sebastia, Sebastia str",55,2,5,5,Monolit,Zero condition,3 M,1,,14.11.2023,25,,,,,,,
myrealty,142334,280000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Balcony', 'Security system', 'Sunny', 'View', 'Bilateral', 'Close to the bus station', 'Parking']","Yerevan, Norq Marash, Armenak Armenakyan St",101,4,3,4,Monolit,Newly repaired,3 M,1,,14.11.2023,29,,,,,,,
myrealty,142333,162000,"['Heating', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Parquet', 'Roadside', 'Close to the bus station', 'Parking', 'Elevator']","Yerevan, Qanaqer-Zeytun, Nersisyan St",89,3,7,10,Monolit,Newly repaired,3 M,2,,14.11.2023,29,,,,,,,
myrealty,142332,235000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Tile', 'Security system', 'Sunny', 'View', 'Bilateral', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Davtashen, Davtashen 4 district",110,2,2,5,Monolit,Newly repaired,3 M,1,,14.11.2023,30,,,,,,,
myrealty,142331,198000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Security system', 'Sunny', 'View', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Center, Myasnikyan Ave",88,3,3,15,Monolit,Newly repaired,3 M,2,,14.11.2023,11,,,,,,,
myrealty,142329,225000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Security system', 'Sunny', 'View', 'Parking', 'Elevator']","Yerevan, Norq Marash, G. Hovsepyan St",110,3,4,4,Monolit,Newly repaired,3 M,1,,14.11.2023,17,,,,,,,
myrealty,142328,225000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Tile', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Center, Mher Mkrtchyan St",94,3,7,7,Monolit,Newly repaired,3 M,1,,14.11.2023,17,,,,,,,
myrealty,142326,140000,"['Heating', 'Internet', 'Hot water', 'Sewerage, Canalization', 'Electricity', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Balcony', 'Storage room', 'Tile', 'Security system', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Garage', 'Playground', 'Park']","Yerevan, Qanaqer-Zeytun, Sevak St",84,3,5,5,Stone,Newly repaired,2.8 M,2,,14.11.2023,22,,,,,,,
myrealty,142323,340000,"['Heating', 'Hot water', 'Irrigation', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Laminate flooring', 'Sunny', 'View', 'Close to the bus station', 'Parking', 'Playground', 'Park', 'Elevator']","Yerevan, Center, Pushkin St",90,4,3,10,Panel,Newly repaired,2.8 M,1,,14.11.2023,39,,,,,,,
