source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,coordinates
bars,4-3-1430,130000.0,60.5,2.0,3.0,13.0,Other,Needs Renovation/Repair,1.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,"(40.19855807840442, 44.50384769146143)"
bars,4-3-1430.1,215000.0,96.1,3.0,4.0,13.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,"(40.19855807840442, 44.50384769146143)"
bars,1-N-432,560000.0,156.4,4.0,9.0,17.0,Other,Good Condition,2.0,0,1,0,1,1,0,1,1,44.583870697678144,40.21673211791397,"(40.21673211791397, 44.583870697678144)"
bars,1-N-429,410000.0,75.0,3.0,3.0,12.0,Other,Good Condition,2.0,0,1,0,1,1,1,1,0,44.50449735,40.1832187,"(40.1832187, 44.50449735)"
bars,1-A-118,420000.0,138.0,4.0,3.0,5.0,Other,Good Condition,2.0,0,1,0,0,1,0,1,0,44.51228432718437,40.19590302536037,"(40.19590302536037, 44.51228432718437)"
bars,1-3-2096,339000.0,100.0,3.0,2.0,6.0,Other,Good Condition,1.0,0,0,0,0,1,1,1,1,44.519048808509375,40.177015330930764,"(40.177015330930764, 44.519048808509375)"
bars,1-A-123,500000.0,107.0,3.0,5.0,7.0,Other,Good Condition,2.0,0,1,0,1,1,1,1,1,44.51228432718437,40.19590302536037,"(40.19590302536037, 44.51228432718437)"
bars,1-N-403,520000.0,121.0,3.0,6.0,21.0,Other,Good Condition,1.0,0,0,0,0,1,1,1,1,44.583870697678144,40.21673211791397,"(40.21673211791397, 44.583870697678144)"
bars,1-3-1721,225000.0,101.0,3.0,6.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,1,1,1,44.51808492499669,40.187096641397815,"(40.187096641397815, 44.51808492499669)"
bars,1-N-433,985000.0,206.0,4.0,20.0,23.0,Other,Good Condition,3.0,0,1,0,0,1,1,1,0,44.519048808509375,40.177015330930764,"(40.177015330930764, 44.519048808509375)"
bars,6-NM3-7,170000.0,100.0,3.0,6.0,10.0,Other,Needs Renovation/Repair,2.0,1,1,0,0,1,0,0,0,44.552282393219535,40.19046429667407,"(40.19046429667407, 44.552282393219535)"
bars,4-3-1433,225000.0,125.0,3.0,6.0,16.0,Other,Good Condition,2.0,0,0,0,1,1,1,1,1,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
bars,4-3-1434,295000.0,105.0,3.0,3.0,5.0,Other,Good Condition,2.0,0,0,0,0,0,1,1,1,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
bars,4-3-1431,160000.0,95.0,3.0,4.0,5.0,Other,Needs Renovation/Repair,1.0,0,1,0,0,0,0,0,0,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
bars,1-2-991,290000.0,55.0,2.0,1.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,1,1,1,44.505052000470215,40.183781674798254,"(40.183781674798254, 44.505052000470215)"
bars,4-2-201,135000.0,55.3,2.0,11.0,13.0,Other,Good Condition,1.0,0,0,0,1,1,1,1,0,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
bars,1-B-97,450000.0,84.6,2.0,4.0,16.0,Other,Good Condition,1.0,0,0,0,1,1,0,1,1,44.55827345658594,40.199176396159615,"(40.199176396159615, 44.55827345658594)"
bars,4-3-1432,205000.0,64.0,3.0,8.0,14.0,Other,Good Condition,1.0,0,1,0,1,1,1,1,1,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
bars,1-B-128,950000.0,174.0,4.0,5.0,15.0,Other,Good Condition,2.0,0,1,0,0,1,1,1,0,44.55827345658594,40.199176396159615,"(40.199176396159615, 44.55827345658594)"
bars,4-3-1412,220000.0,90.0,3.0,2.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,1,1,1,44.48842560030741,40.19502146089586,"(40.19502146089586, 44.48842560030741)"
bars,1-2-990,250000.0,50.0,2.0,2.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,1,1,1,44.5215976,40.18607885,"(40.18607885, 44.5215976)"
bars,4-3-1181,160000.0,91.0,4.0,3.0,5.0,Other,Good Condition,1.0,0,1,0,0,0,0,0,0,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
bars,1-3-1912,120000.0,85.0,3.0,2.0,4.0,Other,Needs Renovation/Repair,1.0,0,1,0,0,0,0,0,0,44.45609932611657,40.15477242139723,"(40.15477242139723, 44.45609932611657)"
bars,1-3-2133,606000.0,220.0,5.0,5.0,6.0,Other,Good Condition,3.0,0,1,0,0,1,1,1,1,44.5776738850503,40.217118108862934,"(40.217118108862934, 44.5776738850503)"
bars,6-NM3-6,400000.0,100.0,3.0,1.0,5.0,Other,Needs Renovation/Repair,2.0,1,1,0,0,1,0,0,0,44.47934247499251,40.150660083827475,"(40.150660083827475, 44.47934247499251)"
bars,1-3-2132,190000.0,84.0,3.0,1.0,5.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,0,44.5273774,40.17699785,"(40.17699785, 44.5273774)"
bars,1-N-430,700000.0,145.0,5.0,8.0,11.0,Other,Good Condition,3.0,0,0,0,0,1,1,1,1,44.51166722152143,40.182206184659805,"(40.182206184659805, 44.51166722152143)"
bars,6-ACH3-126,85000.0,56.0,3.0,5.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,0,1,1,44.476933542701154,40.20438901998362,"(40.20438901998362, 44.476933542701154)"
bars,4-3-1429,360000.0,305.0,4.0,5.0,14.0,Other,Good Condition,2.0,0,1,0,0,1,1,1,1,44.499437857296144,40.19210576699806,"(40.19210576699806, 44.499437857296144)"
bars,4-3-1427,115000.0,83.0,3.0,7.0,14.0,Panel,Other,1.0,0,0,0,0,0,0,0,0,44.50164222859443,40.19625902492543,"(40.19625902492543, 44.50164222859443)"
bars,4-2-203,95000.0,37.0,2.0,2.0,5.0,Other,Good Condition,1.0,0,0,0,0,0,0,1,0,44.51872985,40.204131149999995,"(40.204131149999995, 44.51872985)"
bars,6-NM2-5,108000.0,55.18,2.0,4.0,5.0,Other,Needs Renovation/Repair,1.0,1,1,0,0,0,0,0,0,44.47934247499251,40.150660083827475,"(40.150660083827475, 44.47934247499251)"
bars,6-D3-208,124000.0,105.0,3.0,2.0,14.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,1,0,0,0,44.4701813882256,40.21611126911036,"(40.21611126911036, 44.4701813882256)"
bars,6-D3-207,163000.0,72.0,3.0,2.0,11.0,Other,Good Condition,1.0,0,1,0,0,1,0,1,0,44.4567380668362,40.166016462777485,"(40.166016462777485, 44.4567380668362)"
bars,4-3-111,775000.0,342.0,8.0,8.0,9.0,Other,Good Condition,4.0,0,1,0,1,1,1,1,0,44.50384769146143,40.19855807840442,"(40.19855807840442, 44.50384769146143)"
bars,4-3-93,235000.0,220.0,7.0,4.0,4.0,Other,Good Condition,3.0,0,0,0,0,0,1,1,0,44.48842560030741,40.19502146089586,"(40.19502146089586, 44.48842560030741)"
bars,4-3-23,200000.0,110.0,4.0,3.0,5.0,Other,Good Condition,2.0,0,0,0,0,0,1,1,1,44.52473536231635,40.20625843913501,"(40.20625843913501, 44.52473536231635)"
