source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
myrealty,122491,220000.0,100.0,3.0,12.0,14.0,1.0,0,0,0,0,0,0,0,0,44.514048989347714,40.1861605885798,90,10356,4463,2117,5174,9,32,4,2,0,2,1,1,0,0,1,0,1,0,0,0
bnakaran,d115045,160000.0,84.0,2.0,4.0,13.0,1.0,1,0,0,0,0,1,1,0,44.52185074736,40.173886039895,1464,10587,2947,3525,4442,5,8,6,1,0,3,0,0,1,0,0,0,0,1,0,0
myrealty,132234,167000.0,89.0,3.0,2.0,11.0,1.0,1,0,1,0,1,1,1,1,44.48818834760215,40.15458305313542,4174,7456,4330,4766,1093,3,1,3,0,0,0,3,1,1,0,0,0,0,0,1,0
bnakaran,d110650,225000.0,150.0,3.0,5.0,23.0,2.0,1,0,0,0,0,0,0,0,44.519401550293,40.175800323486,1191,10436,3236,3228,4463,5,11,7,1,0,3,0,0,1,0,0,0,1,0,0,0
bars,4-3-23,200000.0,110.0,4.0,3.0,5.0,2.0,0,0,0,0,0,1,1,1,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,1,0,0,1,0,0,0
bnakaran,d98281,230000.0,46.0,2.0,8.0,16.0,1.0,1,0,0,1,0,1,0,0,44.511429455989,40.179915238707,744,9913,3991,2441,4457,4,17,8,3,0,1,3,3,1,0,0,0,1,0,0,0
myrealty,142704,420000.0,80.0,2.0,4.0,10.0,2.0,1,0,1,1,1,1,1,1,44.51467793334746,40.18220208362412,423,10255,4053,2438,4815,6,26,9,3,0,1,2,2,1,0,0,0,0,0,1,0
myrealty,129105,188000.0,90.0,3.0,5.0,15.0,1.0,1,0,0,0,0,0,0,0,44.509269992836,40.20967865714541,2678,11229,7014,1908,7471,2,1,2,1,0,1,1,1,1,0,0,0,0,1,0,0
bnakaran,d116574,165000.0,43.0,2.0,2.0,3.0,1.0,0,0,0,0,0,1,0,0,44.504154497845,40.191799781604,1130,9841,5431,1068,5440,3,7,2,0,0,0,0,0,0,1,0,0,1,0,0,0
bars,4-3-1408,173000.0,80.0,3.0,2.0,5.0,1.0,0,1,0,0,0,1,1,1,44.499155086504345,40.19562050194883,1725,9667,6020,490,5750,7,3,1,2,0,0,2,0,0,0,0,1,1,0,0,0
myrealty,140849,150000.0,36.0,2.0,2.0,14.0,1.0,1,0,0,0,0,0,1,1,44.50409202665325,40.17429211194108,1602,9136,3946,2697,3615,4,6,3,0,0,0,1,0,1,0,0,0,0,0,1,0
myrealty,141131,90000.0,65.0,3.0,5.0,10.0,1.0,0,0,0,0,0,0,0,0,44.46234708546167,40.1906722427931,4510,6769,7871,2767,5465,4,7,1,1,0,1,0,0,0,0,1,0,0,0,1,0
myrealty,142657,140000.0,90.0,3.0,5.0,5.0,1.0,0,0,1,0,0,0,1,1,44.51344849450384,40.1767382062846,1039,9975,3605,2826,4245,3,19,13,0,0,1,0,0,0,0,0,1,1,0,0,0
bars,1-3-2064,350000.0,110.0,4.0,1.0,3.0,2.0,0,0,0,0,0,1,1,0,44.5044544,40.19219245,1135,9883,5454,1066,5489,3,6,1,0,0,1,0,0,0,0,0,1,1,0,0,0
