SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway
1691,10176,6088,867,6157
1691,10176,6088,867,6157
6767,17145,8266,7951,11537
951,9481,4641,1805,4544
1126,10663,5501,1578,6098
1054,10441,3367,3108,4549
1126,10663,5501,1578,6098
6767,17145,8266,7951,11537
282,10714,4406,2352,5431
1054,10441,3367,3108,4549
3198,13576,4554,5025,7583
2396,12140,6283,2813,7578
2396,12140,6283,2813,7578
2396,12140,6283,2813,7578
887,9548,4660,1776,4619
2396,12140,6283,2813,7578
3949,14382,5625,5481,8617
2396,12140,6283,2813,7578
3949,14382,5625,5481,8617
2477,8852,6524,517,5575
552,10953,4189,2668,5493
2396,12140,6283,2813,7578
6097,4733,7051,5705,2755
6342,16687,8076,7459,11194
4966,6703,5061,5322,844
1446,11125,3073,3634,5017
512,10014,4189,2259,4691
3832,8701,7951,1636,6656
1492,9500,5686,746,5372
1614,9886,5964,676,5864
2039,11580,6172,2253,7152
4966,6703,5061,5322,844
5075,9240,9317,2901,8027
5432,5016,7184,4685,3409
1691,10176,6088,867,6157
2477,8852,6524,517,5575
2396,12140,6283,2813,7578
1858,9844,6206,515,6014
5707,16080,7448,6902,10533
2588,10091,6976,902,6740
2189,8985,6248,448,5440
1479,8960,4673,1965,4080
1725,9667,6020,490,5750
500,10375,3922,2592,4837
552,10953,4189,2668,5493
2806,9293,7051,621,6292
2463,10068,6850,815,6633
2908,10314,1822,4731,3472
2908,10314,1822,4731,3472
2908,10314,1822,4731,3472
1614,9886,5964,676,5864
2588,10091,6976,902,6740
5524,6056,5720,5679,1293
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1141,10968,3347,3331,5023
2908,10314,1822,4731,3472
1614,9886,5964,676,5864
461,10637,4805,2005,5623
1014,9991,5360,1195,5503
552,10953,4189,2668,5493
4228,7789,8057,2162,6227
887,9548,4660,1776,4619
1298,10082,5680,1005,5800
2678,11229,7014,1908,7471
1069,9384,4450,2027,4301
904,11312,4614,2653,6023
2039,11580,6172,2253,7152
1069,9384,4450,2027,4301
1446,11125,3073,3634,5017
552,10953,4189,2668,5493
1858,9844,6206,515,6014
1014,9991,5360,1195,5503
2154,8949,6183,518,5360
1725,9667,6020,490,5750
8065,4241,10877,6349,7309
2811,12498,6611,3143,7997
1039,9975,3605,2826,4245
2477,8852,6524,517,5575
90,10356,4463,2117,5174
5075,9240,9317,2901,8027
1858,9844,6206,515,6014
1014,9991,5360,1195,5503
2154,8949,6183,518,5360
1725,9667,6020,490,5750
8065,4241,10877,6349,7309
2811,12498,6611,3143,7997
1039,9975,3605,2826,4245
2477,8852,6524,517,5575
90,10356,4463,2117,5174
5075,9240,9317,2901,8027
4027,9030,2735,5328,1873
1890,12020,5579,2869,7086
2477,8852,6524,517,5575
1725,9667,6020,490,5750
5707,16080,7448,6902,10533
2588,10091,6976,902,6740
873,11204,3964,3006,5566
506,10519,3900,2664,4950
2974,10487,7379,1431,7271
512,10014,4189,2259,4691
1492,9500,5686,746,5372
887,9548,4660,1776,4619
951,9481,4641,1805,4544
4510,6769,7871,2767,5465
3949,14382,5625,5481,8617
980,10353,3460,3003,4522
887,9548,4660,1776,4619
1014,9991,5360,1195,5503
6767,17145,8266,7951,11537
3949,14382,5625,5481,8617
257,10215,4571,1965,5129
1014,9991,5360,1195,5503
4356,8527,8443,2162,6963
1145,10380,3295,3162,4445
2987,13225,6009,4028,8105
407,10067,4285,2178,4806
2771,12090,6823,2721,7875
1479,8960,4673,1965,4080
1014,9991,5360,1195,5503
8065,4241,10877,6349,7309
1034,10544,3373,3132,4650
1014,9991,5360,1195,5503
1492,9500,5686,746,5372
512,10014,4189,2259,4691
3949,14382,5625,5481,8617
8419,3145,8908,7958,4356
8419,3145,8908,7958,4356
552,10953,4189,2668,5493
282,10714,4406,2352,5431
2678,11229,7014,1908,7471
1492,9500,5686,746,5372
1446,11125,3073,3634,5017
1571,11452,5649,2264,6744
90,10356,4463,2117,5174
980,10353,3460,3003,4522
90,10356,4463,2117,5174
887,9548,4660,1776,4619
257,10215,4571,1965,5129
407,10067,4285,2178,4806
1054,10441,3367,3108,4549
90,10356,4463,2117,5174
90,10356,4463,2117,5174
506,10519,3900,2664,4950
8419,3145,8908,7958,4356
407,10067,4285,2178,4806
2396,12140,6283,2813,7578
1145,10380,3295,3162,4445
8419,3145,8908,7958,4356
8419,3145,8908,7958,4356
666,9774,4627,1807,4793
904,11312,4614,2653,6023
2136,9185,6287,246,5614
552,10953,4189,2668,5493
500,10375,3922,2592,4837
1446,11125,3073,3634,5017
1014,9991,5360,1195,5503
816,9650,4776,1654,4797
6767,17145,8266,7951,11537
1831,8613,4781,2089,3832
6400,16649,6134,8242,10168
4489,14080,7926,4718,9688
506,10519,3900,2664,4950
4510,6769,7871,2767,5465
5432,5016,7184,4685,3409
1919,10193,6317,830,6332
4760,9789,9090,2668,8132
1858,9844,6206,515,6014
1014,9991,5360,1195,5503
1479,8960,4673,1965,4080
2588,10091,6976,902,6740
2129,10127,2522,3947,3680
2743,11632,6981,2284,7695
3949,14382,5625,5481,8617
2881,9606,7201,809,6604
1014,9991,5360,1195,5503
1054,10441,3367,3108,4549
1126,10663,5501,1578,6098
2588,10091,6976,902,6740
3949,14382,5625,5481,8617
1141,10968,3347,3331,5023
816,9650,4776,1654,4797
6767,17145,8266,7951,11537
1298,10082,5680,1005,5800
1298,10082,5680,1005,5800
1126,10663,5501,1578,6098
1126,10663,5501,1578,6098
4023,14452,5796,5496,8746
3022,11061,7399,1882,7627
1054,10441,3367,3108,4549
1268,9343,4088,2434,3964
1126,10663,5501,1578,6098
816,9650,4776,1654,4797
500,10375,3922,2592,4837
512,10014,4189,2259,4691
4930,7652,4177,5709,383
2396,12140,6283,2813,7578
3949,14382,5625,5481,8617
3022,11061,7399,1882,7627
6767,17145,8266,7951,11537
1446,11125,3073,3634,5017
1509,10414,2939,3501,4261
2588,10091,6976,902,6740
2250,11047,6596,1680,7081
1204,11050,3317,3399,5080
2678,11229,7014,1908,7471
506,10519,3900,2664,4950
90,10356,4463,2117,5174
4489,14080,7926,4718,9688
2678,11229,7014,1908,7471
2591,12602,6143,3324,7788
6767,17145,8266,7951,11537
2974,10487,7379,1431,7271
1069,9384,4450,2027,4301
1145,10380,3295,3162,4445
2396,12140,6283,2813,7578
2396,12140,6283,2813,7578
4490,14813,5009,6326,8579
6097,4733,7051,5705,2755
4499,14839,5092,6313,8634
951,9481,4641,1805,4544
1298,10082,5680,1005,5800
5707,16080,7448,6902,10533
500,10375,3922,2592,4837
1446,11125,3073,3634,5017
5261,15685,6740,6643,9945
1571,11452,5649,2264,6744
2039,11580,6172,2253,7152
3949,14382,5625,5481,8617
4221,7485,7913,2257,5923
3949,14382,5625,5481,8617
407,10067,4285,2178,4806
