price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital
130000.0,60.5,2.0,3.0,13.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1691,10176,6088,867,6157,1,5,2,1,0,0,0,0
215000.0,96.1,3.0,4.0,13.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1691,10176,6088,867,6157,1,5,2,1,0,0,0,0
560000.0,156.4,4.0,9.0,17.0,2.0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,6767,17145,8266,7951,11537,1,11,2,0,0,0,0,0
410000.0,75.0,3.0,3.0,12.0,2.0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,951,9481,4641,1805,4544,1,7,6,1,1,1,1,0
420000.0,138.0,4.0,3.0,5.0,2.0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0
339000.0,100.0,3.0,2.0,6.0,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1054,10441,3367,3108,4549,1,10,10,1,0,0,0,0
500000.0,107.0,3.0,5.0,7.0,2.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1126,10663,5501,1578,6098,0,1,4,0,0,1,0,0
520000.0,121.0,3.0,6.0,21.0,1.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,6767,17145,8266,7951,11537,1,11,2,0,0,0,0,0
225000.0000000001,101.0,3.0,6.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,282,10714,4406,2352,5431,1,21,2,0,1,1,1,1
170000.0,100.0,3.0,6.0,10.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,3198,13576,4554,5025,7583,0,0,0,0,0,0,0,0
225000.0,125.0,3.0,6.0,16.0,2.0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
295000.0,105.0,3.0,3.0,5.0,2.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
160000.0,95.0,3.0,4.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
290000.0,55.0,2.0,1.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,887,9548,4660,1776,4619,1,6,6,1,1,1,1,0
135000.0,55.3,2.0,11.0,13.0,1.0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
450000.0,84.6,2.0,4.0,16.0,1.0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,3949,14382,5625,5481,8617,1,1,1,0,0,0,1,0
205000.0,64.0,3.0,8.0,14.0,1.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
220000.0,90.0,3.0,2.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2477,8852,6524,517,5575,1,4,4,0,0,1,0,1
250000.0,50.0,2.0,2.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,552,10953,4189,2668,5493,1,25,3,0,1,1,1,1
159999.99999999997,91.0,4.0,3.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
120000.0,85.0,3.0,2.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6097,4733,7051,5705,2755,0,0,0,0,0,0,0,0
606000.0,220.0,5.0,5.0,6.0,3.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,6342,16687,8076,7459,11194,1,5,2,0,0,0,1,1
400000.0,100.0,3.0,1.0,5.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,4966,6703,5061,5322,844,1,6,1,1,0,0,1,0
190000.0,84.0,3.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1446,11125,3073,3634,5017,1,2,4,0,0,1,1,0
85000.0,56.0,3.0,5.0,5.0,1.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,3832,8701,7951,1636,6656,1,14,1,0,0,0,1,1
360000.0,305.0,4.0,5.0,14.0,2.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1492,9500,5686,746,5372,1,2,2,1,0,0,0,0
115000.0,83.0,3.0,7.0,14.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1614,9886,5964,676,5864,1,2,1,1,0,0,0,0
95000.0,37.0,2.0,2.0,5.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2039,11580,6172,2253,7152,1,8,2,1,0,0,1,0
108000.0,55.18,2.0,4.0,5.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4966,6703,5061,5322,844,1,6,1,1,0,0,1,0
124000.0,105.0,3.0,2.0,14.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5075,9240,9317,2901,8027,1,0,0,0,0,0,0,0
163000.0,72.0,3.0,2.0,11.0,1.0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,5432,5016,7184,4685,3409,0,0,0,0,0,0,0,0
235000.0,220.0,7.0,4.0,4.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2477,8852,6524,517,5575,1,4,4,0,0,1,0,1
200000.00000000003,110.0,4.0,3.0,5.0,2.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2396,12140,6283,2813,7578,1,5,8,0,1,0,1,0
125000.0,80.0,2.0,14.0,16.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1858,9844,6206,515,6014,1,6,0,1,0,0,0,0
90000.0,46.5,1.0,2.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5707,16080,7448,6902,10533,0,0,1,0,0,0,0,0
180000.0,113.0,4.0,3.0,5.0,2.0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2588,10091,6976,902,6740,1,3,0,1,0,0,0,1
156000.0,84.0,3.0,8.0,14.0,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2189,8985,6248,448,5440,1,1,3,1,0,1,0,1
360000.0,121.0,4.0,11.0,13.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1479,8960,4673,1965,4080,1,6,7,1,0,0,0,1
192000.0,67.0,3.0,7.0,14.0,1.0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1725,9667,6020,490,5750,1,3,1,1,0,0,1,0
330000.00000000006,108.0,4.0,2.0,5.0,2.0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,500,10375,3922,2592,4837,1,31,10,0,1,0,1,0
105000.0,59.0,2.0,1.0,14.0,1.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,2806,9293,7051,621,6292,1,3,0,1,1,1,1,1
285000.0,81.0,3.0,6.0,10.0,2.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2463,10068,6850,815,6633,1,8,1,1,0,0,0,0
410000.0,165.0,5.0,8.0,8.0,4.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1
193000.0,97.0,3.0,5.0,8.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1
201000.0,81.0,3.0,5.0,8.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1
290000.0,110.0,4.0,5.0,7.0,2.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1614,9886,5964,676,5864,1,2,1,1,0,0,0,0
110000.0,75.0,2.0,3.0,9.0,1.0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,2588,10091,6976,902,6740,1,3,0,1,0,0,0,1
105000.0,44.0,2.0,10.0,12.0,1.0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,5524,6056,5720,5679,1293,0,0,0,0,0,0,1,1
661600.0,206.75,4.0,5.0,8.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
533920.0,166.85,4.0,5.0,8.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
591850.0,169.1,4.0,6.0,8.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
528300.0,176.1,4.0,3.0,8.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
555520.0,179.2,5.0,3.0,5.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
558360.0,169.2,4.0,5.0,5.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
519050.0,148.3,4.0,6.0,8.0,2.0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0
450000.00000000006,157.0,4.0,6.0,6.0,2.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1141,10968,3347,3331,5023,1,6,7,1,0,1,1,0
315000.0,131.0,4.0,5.0,7.0,2.0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,2908,10314,1822,4731,3472,0,0,0,0,0,0,0,1
270000.0,90.0,3.0,4.0,9.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1614,9886,5964,676,5864,1,2,1,1,0,0,0,0
359000.0,98.0,4.0,2.0,5.0,1.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,461,10637,4805,2005,5623,1,12,1,1,0,1,1,0
255000.0,110.0,3.0,2.0,5.0,2.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1014,9991,5360,1195,5503,1,8,1,0,0,1,0,0
420000.0,180.0,4.0,4.0,4.0,2.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,552,10953,4189,2668,5493,1,25,3,0,1,1,1,1
115000.0,76.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4228,7789,8057,2162,6227,0,0,0,0,0,0,0,0
270000.0,92.0,3.0,6.0,8.0,2.0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,887,9548,4660,1776,4619,1,6,6,1,1,1,1,0
178000.0,100.0,3.0,5.0,5.0,1.0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2678,11229,7014,1908,7471,1,1,2,1,0,1,1,1
585000.0,140.0,4.0,5.0,16.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1069,9384,4450,2027,4301,1,15,5,1,0,1,1,1
360000.00000000006,86.0,3.0,4.0,4.0,1.0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,904,11312,4614,2653,6023,1,8,5,0,0,1,1,1
145000.00000000003,70.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2039,11580,6172,2253,7152,1,8,2,1,0,0,1,0
220000.0,71.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1069,9384,4450,2027,4301,1,15,5,1,0,1,1,1
75000.0,78.0,3.0,2.0,4.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1446,11125,3073,3634,5017,1,2,4,0,0,1,1,0
150000.00000000003,42.0,1.0,5.0,8.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,552,10953,4189,2668,5493,1,25,3,0,1,1,1,1
260000.0,130.0,4.0,9.0,9.0,1.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1858,9844,6206,515,6014,1,6,0,1,0,0,0,0
150000.0,50.0,1.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1014,9991,5360,1195,5503,1,8,1,0,0,1,0,0
220000.0000000001,76.0,2.0,14.0,15.0,1.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2154,8949,6183,518,5360,1,0,3,1,0,1,0,1
152999.99999999994,78.0,3.0,3.0,5.0,1.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1725,9667,6020,490,5750,1,3,1,1,0,0,1,0
430000.0,200.0,5.0,3.0,8.0,3.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,8065,4241,10877,6349,7309,0,0,0,0,1,0,0,0
160000.0,82.0,3.0,1.0,3.0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2811,12498,6611,3143,7997,1,12,2,1,0,1,1,1
145000.0,37.0,1.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1039,9975,3605,2826,4245,1,19,13,0,0,1,0,0
275000.0,97.0,3.0,15.0,16.0,2.0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2477,8852,6524,517,5575,1,4,4,0,0,1,0,1
450000.0,100.0,3.0,9.0,13.0,2.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,90,10356,4463,2117,5174,1,32,4,1,0,1,1,1
155000.0,75.0,3.0,1.0,9.0,1.0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,5075,9240,9317,2901,8027,1,0,0,0,0,0,0,0
130000.00000000007,62.0,2.0,2.0,14.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4027,9030,2735,5328,1873,0,0,2,0,0,0,0,1
140000.0,85.0,3.0,2.0,12.0,2.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1890,12020,5579,2869,7086,1,0,1,1,0,1,1,0
300000.0,156.0,5.0,4.0,5.0,1.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2477,8852,6524,517,5575,1,4,4,0,0,1,0,1
173000.0,80.0,3.0,2.0,5.0,1.0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1725,9667,6020,490,5750,1,3,1,1,0,0,1,0
125000.0,76.0,3.0,3.0,5.0,1.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,5707,16080,7448,6902,10533,0,0,1,0,0,0,0,0
160000.0,74.0,3.0,2.0,5.0,1.0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,2588,10091,6976,902,6740,1,3,0,1,0,0,0,1
150000.0,35.5,1.0,5.0,5.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,873,11204,3964,3006,5566,1,11,6,1,0,1,0,1
465000.0,141.23,3.0,2.0,5.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,506,10519,3900,2664,4950,1,31,13,0,1,0,1,1
111000.0,65.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2974,10487,7379,1431,7271,0,0,1,0,1,0,0,1
560000.0,110.0,3.0,15.0,18.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,512,10014,4189,2259,4691,1,16,5,1,0,1,1,1
175000.0,61.4,2.0,3.0,7.0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,887,9548,4660,1776,4619,1,6,6,1,1,1,1,0
300000.0,125.1,4.0,9.0,13.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,951,9481,4641,1805,4544,1,7,6,1,1,1,1,0
118000.0,59.0,2.0,4.0,6.0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4510,6769,7871,2767,5465,1,7,1,1,0,1,0,0
118000.00000000004,65.0,3.0,4.0,9.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3949,14382,5625,5481,8617,1,1,1,0,0,0,1,0
390000.0,107.0,3.0,3.0,5.0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,980,10353,3460,3003,4522,1,12,8,1,0,0,1,0
165000.0,78.8,2.0,16.0,16.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,887,9548,4660,1776,4619,1,6,6,1,1,1,1,0
500000.00000000006,120.0,3.0,8.0,17.0,2.0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1014,9991,5360,1195,5503,1,8,1,0,0,1,0,0
135000.0,75.0,3.0,5.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6767,17145,8266,7951,11537,1,11,2,0,0,0,0,0
400000.0,120.0,3.0,2.0,4.0,1.0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,257,10215,4571,1965,5129,1,22,3,1,1,1,1,1
105000.0,102.0,4.0,5.0,5.0,1.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,4356,8527,8443,2162,6963,1,10,0,1,0,0,1,0
230000.0,83.0,3.0,6.0,12.0,1.0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,2987,13225,6009,4028,8105,1,2,2,0,0,0,1,1
240000.0,80.0,3.0,3.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,407,10067,4285,2178,4806,1,23,6,1,0,1,1,1
175000.0,80.0,3.0,3.0,5.0,1.0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,2771,12090,6823,2721,7875,1,3,2,0,0,0,0,1
270000.0,80.0,3.0,3.0,4.0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1479,8960,4673,1965,4080,1,6,7,1,0,0,0,1
161000.0,78.0,3.0,4.0,6.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1014,9991,5360,1195,5503,1,8,1,0,0,1,0,0
187000.0,105.0,4.0,4.0,16.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8065,4241,10877,6349,7309,0,0,0,0,1,0,0,0
480000.00000000006,176.0,5.0,2.0,5.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1034,10544,3373,3132,4650,1,11,9,1,0,0,1,0
135000.0,80.0,3.0,6.0,9.0,1.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1014,9991,5360,1195,5503,1,8,1,0,0,1,0,0
154000.0,61.0,3.0,1.0,5.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1492,9500,5686,746,5372,1,2,2,1,0,0,0,0
239000.0,40.0,2.0,2.0,22.0,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,512,10014,4189,2259,4691,1,16,5,1,0,1,1,1
495000.0,335.0,5.0,9.0,9.0,3.0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,3949,14382,5625,5481,8617,1,1,1,0,0,0,1,0
430000.0,161.0,5.0,4.0,5.0,2.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,282,10714,4406,2352,5431,1,21,2,0,1,1,1,1
150000.0,77.0,3.0,5.0,5.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2678,11229,7014,1908,7471,1,1,2,1,0,1,1,1
415000.0000000001,124.0,3.0,6.0,14.0,2.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1492,9500,5686,746,5372,1,2,2,1,0,0,0,0
160000.00000000006,78.0,2.0,1.0,6.0,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1446,11125,3073,3634,5017,1,2,4,0,0,1,1,0
120000.0,78.3,3.0,1.0,9.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1571,11452,5649,2264,6744,1,4,8,0,0,0,1,0
320000.0,70.0,3.0,12.0,14.0,1.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,90,10356,4463,2117,5174,1,32,4,1,0,1,1,1
550000.0,209.0,5.0,4.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,980,10353,3460,3003,4522,1,12,8,1,0,0,1,0
320000.00000000006,90.0,3.0,2.0,5.0,1.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,90,10356,4463,2117,5174,1,32,4,1,0,1,1,1
266000.00000000006,90.0,3.0,8.0,10.0,1.0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,887,9548,4660,1776,4619,1,6,6,1,1,1,1,0
