source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bars,1-3-1665,1750000.0,250.0,4.0,5.0,5.0,2.0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,"(40.19194689069822, 44.50603348930943)",1014,9991,2066,5360,4102,1195,5503,3,8,0,4,1,0,0,1,0,0,1,0,0,0,0,0
bars,6-D3-178,85000.0,72.0,3.0,9.0,9.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"(40.21777640245817, 44.47752986786994)",4760,9789,4399,9090,5860,2668,8132,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
myrealty,140344,82000.0,68.0,3.0,15.0,16.0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,"(40.199323, 44.4684631)",4228,7789,2818,8057,6761,2162,6227,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0
bars,1-2-933,120000.0,63.0,2.0,12.0,14.0,1.0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,"(40.17429211194108, 44.50409202665325)",1602,9136,1431,3946,5549,2697,3615,3,6,1,1,3,0,0,2,0,0,0,1,0,0,0,0
bnakaran,d61017,395000.0,60.0,2.0,3.0,16.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"(40.180692384193, 44.510423720058)",710,9859,1874,4111,4658,2320,4492,4,14,6,2,8,3,0,3,0,2,1,3,0,3,0,0
myrealty,140822,400000.0,101.0,4.0,3.0,14.0,1.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.1861605885798, 44.514048989347714)",90,10356,2311,4463,4000,2117,5174,9,32,1,4,4,2,0,2,0,0,2,1,0,1,0,0
myrealty,141103,172000.0,72.0,3.0,2.0,10.0,1.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"(40.166016462777485, 44.4567380668362)",5432,5016,3062,7184,9187,4685,3409,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
bars,1-3-1721,225000.0000000001,101.0,3.0,6.0,5.0,1.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,"(40.187096641397815, 44.51808492499669)",282,10714,2669,4406,3694,2352,5431,6,21,2,6,2,0,0,4,1,0,2,1,0,2,0,0
bars,1-3-2117,400000.0,120.0,3.0,2.0,4.0,1.0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,"(40.18645225816211, 44.512115310889925)",257,10215,2169,4571,4091,1965,5129,5,22,2,4,3,5,0,2,2,0,1,2,0,2,0,0
bnakaran,d117302,837000.0,186.0,5.0,14.0,16.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"(40.181887, 44.505746)",916,9528,1500,4459,4832,1986,4445,3,10,4,3,6,4,0,3,0,1,1,2,0,1,0,0
