,source,webpage,success,error
0,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Baghramyan+av%28Arabkir%29/Arabkir/Yerevan/142389,True,
1,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kievyan+St/Arabkir/Yerevan/142387,True,
2,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Buzand+St/Center/Yerevan/142384,True,
3,myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Myasnikyan+Ave/Center/Yerevan/142383,True,
4,myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Myasnikyan+Ave/Center/Yerevan/142382,True,
5,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-downtown-yerevan-d117802,True,
6,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-kanaker-zeytun-yerevan-d111383,True,
7,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-downtown-yerevan-d116449,False,'BnakaranApartmentScraper' object has no attribute 'soup'
8,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142381,True,
9,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-center-yerevan-d117682,False,'NoneType' object has no attribute 'find_all'
10,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-center-yerevan-d107448,False,'BnakaranApartmentScraper' object has no attribute 'soup'
11,myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Myasnikyan+Ave/Center/Yerevan/142380,True,
12,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/A.+Khachatrian+St/Arabkir/Yerevan/142378,True,
13,bnakaran,https://www.bnakaran.com/en/duplex-for-sale-in-downtown-yerevan-d83074,True,
14,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142377,True,
15,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-arabkir-yerevan-d85024,True,
16,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin%2C+G.Emin+St%2C/Center/Yerevan/142376,True,
17,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-davtashen-yerevan-d116405,True,
18,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/G.+Hovsepyan+St/Norq+Marash/Yerevan/142375,True,
19,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Moldovakan+St/Nor+Norq/Yerevan/142373,True,
