,source,webpage,success,error,skipped
0,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-ajapnyak-yerevan-d108949,True,,True
1,bnakaran,https://www.bnakaran.com/en/apartment-for-sale-in-yerevan-d117911,True,,True
2,bars,https://bars.am/en/properties/standard/apartment/4-3-1430,True,,
3,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Mazmanyan+St/Achapnyak/Yerevan/142711,True,,
4,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142709,True,,
5,bars,https://bars.am/en/properties/standard/apartment/4-3-1430.1,True,,
6,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Griboedov+St/Arabkir/Yerevan/142707,True,,
7,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142704,True,,
8,bars,https://bars.am/en/properties/exclusive/apartment/64545,False,invalid literal for int() with base 10: 'Price Upon Request',
9,bars,https://bars.am/en/properties/standard/apartment/1-N-432,True,,
10,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/K.+Ulnetsi+St/Qanaqer-Zeytun/Yerevan/142703,True,,
11,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Griboedov+St/Arabkir/Yerevan/142702,True,,
12,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Mher+Mkrtchyan+St/Center/Yerevan/142701,True,,
13,bars,https://bars.am/en/properties/standard/apartment/1-N-429,True,,
14,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Bashinjaxyan+St/Achapnyak/Yerevan/142700,True,,
15,bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d113164,True,,
16,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/142696,True,,
17,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Charents+St/Center/Yerevan/142695,True,,
18,bars,https://bars.am/en/properties/standard/apartment/1-A-118,True,,
19,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Deghatan+St/Center/Yerevan/142693,True,,
20,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-kanaker-zeytun-yerevan-d117915,True,,True
21,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Komitas+Ave/Arabkir/Yerevan/142692,True,,
22,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Mikoyan+St/Davtashen/Yerevan/142691,True,,
23,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Mikoyan+St/Davtashen/Yerevan/142690,True,,
24,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-arabkir-yerevan-d91689,True,,True
25,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Hr.Kochar+St/Arabkir/Yerevan/142682,True,,
